"Site Key","OperationType","LocationName","Address","City","State","ZIP","Lat","Long","Region","Director","VP","Manager","Asst Manager","Admin","Inside Sales","Phone"
"094-TC","Tire Center","Blaine","8270 W 35W Service Dr NE","Blaine","MN","55449","45.1273","-93.234","West","Cadwallader","Weber","Alex Nelson",,"Jill Schaap",,"763-780-4644"
"083-TC","Tire Center","Blue Earth","425 N Grove St","Blue Earth","MN","56013","43.639","-94.0932","West","Seffinga","Weber",,,"Samantha Ford","Ryan Vereide","507-526-2123"
"621-TC","Tire Center","Cadillac","7296 US-131","Cadillac","MI","49601","44.2477","-85.4137","East","Corson","Hagenow","James Thomas",,,,"231-775-7382"
"012-TC","Tire Center","Carroll","1227 W Hwy 30","Carroll","IA","51401","42.0598","-94.8803","West","St Aubin","Weber","Jett Alex",,"Jamie McCool","Myron Hoffmann","712-792-4378"
"022-TC","Tire Center","Cedar Rapids","628 58th Ave Ct SW","Cedar Rapids","IA","52404","41.9214","-91.6597","Central","Maahs","Ohman","George Wood","Steven Deas",,"Kayla Sievert","319-366-1608"
"722-RTRD","Retread","Cedar Rapids Retread","628 58th Ave Ct SW","Cedar Rapids","IA","52404","41.9214","-91.6597","Central","Kusilek","Kusilek","Steve Almendinger","Steven Deas",,"Kayla Sievert","319-366-1608"
"536-TC","Tire Center","Clarksville","5601 Hwy 31","Clarksville","IN","47129","38.3304","-85.7632","Central","Sharrett","Hagenow","Bill Marcum",,"Jack Kleier",,"812-285-8778"
"023-TC","Tire Center","Davenport","3116 W 73rd St","Davenport","IA","52806","41.5956","-90.6208","Central","Maahs","Ohman","Mike Kuehl",,,"Kathy Cain","563-386-8470"
"027-TC","Tire Center","Des Moines","5201 NE 15th St","Des Moines","IA","50313","41.6557","-93.5968","West","St Aubin","Weber","Don Stoeckel","Steve Piere","Deb Mark","Rick Williams","515-266-7128"
"025-TC","Tire Center","Dubuque","2220 Kerper Blvd","Dubuque","IA","52001","42.5166","-90.6632","Central","Maahs","Ohman","Jimmy Pline",,,,"563-582-3102"
"060-TC","Tire Center","Durand TC","300 W Prospect St","Durand","WI","54736","44.6261","-91.9678","Central","Westphall","Ohman","Sam Jasperson",,"Becky Gates","Mario Fuentes","715-672-8300"
"711-RTRD","Retread","Durand Retread","1020 W Prospect St","Durand","WI","54736","44.6247","-91.9749","Central","Kusilek","Kusilek","Kyle Brantner","Matt Gilles / Nate Dusek","Linda Smith",,"715-672-2842"
"008.200-DIST","Distribution","Durand Warehouse","1115 W Prospect St","Durand","WI","54736","44.6244","-91.976","Distribution","Breslin","Breslin","Ron Brantner","Rick Hartung",,,"715-672-2828"
"811-WHL","Retread","Durand Wheel","300 W Prospect St","Durand","WI","54736","44.6261","-91.9678","Central","Kusilek","Kusilek","Scott Kusilek",,"Linda Smith",,"715-672-8300"
"518-TC","Tire Center","Eagan","1066 Gemini Rd","Eagan","MN","55121","44.857","-93.1505","West","Cadwallader","Weber","Peter Kronschnabel",,"Karin Stenson",,"612-351-3311"
"064-TC","Tire Center","Eau Claire","3014 Mall Dr","Eau Claire","WI","54701","44.7813","-91.4602","Central","Westphall","Ohman","Jessica Garton",,"Michelle Raak",,"715-834-4106"
"622-TC","Tire Center","Elk Grove Village","750 Arthur Ave","Elk Grove Village","IL","60007","42.0046","-87.9715","Central","B Ruhaak","Ohman","Roger Herrera",,,,"847-258-9590"
"026-TC","Tire Center","Fargo","902 38th St N","Fargo","ND","58102","46.8897","-96.8376","West","Cadwallader","Weber","Shawn Kliniske","Dan Wohler","Jessica Freitag",,"701-277-1535"
"088-TC","Tire Center","Fremont","2547 W 23rd Dr","Fremont","NE","68025","41.4552","-96.5265","West","Alex","Weber","Curt Lachner",,"Susan Dueling",,"402-753-2979"
"615-TC","Tire Center","Gaylord","1260 W M-32","Gaylord","MI","49735","45.0276","-84.7089","East","Fields","Hagenow","Matt Hadley",,,,"989-732-6258"
"086-TC","Tire Center","Grand Island","3334 W Cougar Dr","Grand Island","NE","68803","40.9406","-98.386","West","Alex","Weber","Damian Vazquez",,"Brandy Hurley",,"308-382-8167"
